registration_number,citation_count,application_number,title,source,status,error,fetched_at
10-0862960,7,10-2007-0015222,ＯＴＰ 인증장치의 다중등록 방법,kipris_citing_service,ok,,2026-06-11T17:39:22
10-0862961,7,10-2007-0004823,아바타 영상을 제공하는 디지털 홈쇼핑 방송 시스템,kipris_citing_service,ok,,2026-06-11T17:39:23
10-0862132,1,10-2007-0037387,자동차 네비게이션용 지도 정보 서비스 방법 및 그 장치,kipris_citing_service,ok,,2026-06-11T17:39:23
10-0862120,3,10-2007-0031226,네비게이션 고속모드 서비스 방법 및 그 시스템,kipris_citing_service,ok,,2026-06-11T17:39:23
10-0862134,17,10-2006-0052946,온라인을 이용한 본인 확인 서비스 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:24
10-0850740,6,10-2007-0111744,마이크로웨이브 통신을 이용한 열차 통합 운영 시스템 및그 운영 방법,kipris_citing_service,ok,,2026-06-11T17:39:24
10-0850738,1,10-2006-0083478,아바타를 이용한 카드전송서비스방법,kipris_citing_service,ok,,2026-06-11T17:39:24
10-0849236,1,10-2006-0029021,호텔용 고객 숙박 관리 방법,kipris_citing_service,ok,,2026-06-11T17:39:24
10-0827985,1,10-2006-0089973,전자상거래 시스템에서 아바타를 이용한 전자 결제 방법,kipris_citing_service,ok,,2026-06-11T17:39:25
10-0818316,6,10-2006-0070892,아바타를 이용한 패션자문시스템 및 패션자문방법,kipris_citing_service,ok,,2026-06-11T17:39:25
10-0812315,10,10-2007-0111745,대열차 양방향 마이크로웨이브 통신 시스템 및 이를 이용한부가서비스 제공 방법,kipris_citing_service,ok,,2026-06-11T17:39:25
10-0812314,4,10-2006-0091135,인터넷 쇼핑몰에서 아바타를 이용한 사용자 인증 방법,kipris_citing_service,ok,,2026-06-11T17:39:25
